human_uniprot	arabidopsis_uniprot
P30301	Q41951
P30301	Q41963
P37837	F4IC59
O95336	Q9LMX8
O60830	Q9LN27
O14662	Q9SWH4
P46776	P49637
P62847	Q9SS17
Q9NQT4	Q9LX74
Q9NYH9	Q9M0I7
Q96A65	Q93YU5
Q9NYG5	Q9M9L0
Q99952	O82656
Q9P013	Q9LK52
Q96SW2	Q5E916
Q96NY9	Q5W9E7
Q9H252	Q38898
Q8TCB7	A0A1P8AUR3
P83881	O23290
Q9Y5B6	Q9FNN3
Q9H816	Q38961
P60520	Q8VYK7
P60520	Q9SL04
O95166	Q8VYK7
O95166	Q9SL04
P25440	Q8H1D7
P42766	Q9LZ41
Q9BZJ4	Q944H5
Q6ZNW5	Q8RWE8
Q96KP1	F4HWE6
P54577	Q8S9J2
Q15070	Q42191
O75616	O82653
Q8WVC6	Q9ZQH0
Q9Y5N5	Q8VXU9
P09001	Q9LRN8
Q9BT40	Q9LR47
Q96K37	Q9M5A9
Q6N063	Q3ED68
Q99470	Q93ZE8
Q86VZ2	Q9SY00
Q9UNE7	Q9SRS9
Q9BXW7	Q9M169
O75663	Q8VXY4
Q96DF8	Q9S7V6
O75943	Q9MBA3
P25208	O23310
Q9H2V7	Q6NMN6
P07741	Q9SUW2
Q8ND56	Q9C658
Q9NZN8	A8MR45
P0DPD7	Q6ID86
Q5SY16	Q8VYP6
Q9Y4P3	Q93ZN5
P51813	A0A1I9LPU6
P51813	F4JC18
P04049	A0A1I9LPU6
P04049	F4JC18
P19801	F4IAX1
A0FGR8	B6ETT4
A0FGR8	Q8L706
A0FGR9	B6ETT4
A0FGR9	Q8L706
P15259	Q9LM13
P62310	Q9C6K5
Q96RT8	Q0WPZ0
Q9NQT5	Q94AW9
Q9H9Q2	Q94JU3
O43633	Q9SKI2
Q8TBZ6	Q9FGI9
Q5TC63	Q1H5B2
Q8N3J2	Q8LFA9
Q16635	Q9ZV87
Q9BPX6	Q9SZ45
Q68DH5	Q9FKQ8
Q86VU5	O49499
P61923	Q940S5
Q9UJ68	P54150
Q8N6T3	O80925
P26885	Q38936
Q8N9T8	F4J5D3
Q86YJ7	F4IAG4
Q8N6S4	F4IAG4
Q9HA82	Q9LDF2
Q9HA82	Q6NQI8
Q96G23	Q9LDF2
Q96G23	Q6NQI8
P53370	Q9SU14
P42679	A0A1I9LS70
P42679	Q9FIL6
P15056	A0A1I9LS70
P15056	Q9FIL6
Q5VTR2	Q9C895
Q68CP4	Q94CC1
Q9Y5A7	Q500V3
Q5JPI9	Q9C9M1
Q96HA7	Q6Q4D0
Q9H9P8	Q9LES4
Q13572	Q9SUG3
Q6P2E9	Q9LTT8
Q8N2M8	F4JR77
O43292	F4JZM4
Q9HA92	Q9FMJ4
Q9UNZ2	Q8RWU7
Q5VT66	O48588
P99999	Q9T0G2
P49789	F4KEV7
O43808	O04200
P52758	Q94JQ4
Q9UHY1	Q9STK6
Q9UHY1	Q6ICW6
Q86U42	Q93VI4
Q86U42	Q9LX90
Q9BT17	Q8L607
P04183	F4KBF5
Q96A33	Q9STW1
Q9H3M9	Q9M391
Q8IWZ8	Q94C11
Q9NPF5	Q8VZL6
P61758	P57741
Q92535	O64761
Q5T440	Q8L733
Q0P651	Q8RWA3
Q5T3F8	Q9LVE4
Q9Y6Y1	Q9FYG2
P35268	Q9M9W1
Q15560	Q9ZVH8
Q12798	O23184
Q9NQ29	Q940U9
Q9Y3E0	Q9SCL4
P38398	F4I443
Q6ICB0	Q9SFT9
Q96Q05	Q9FY61
Q99598	Q8GZ75
O43318	Q9LVQ9
Q9H8X2	Q1PFT7
Q7L2H7	Q8W4A0
Q9NVZ3	Q681Q7
Q9UNW1	Q941B2
O75208	F4IE14
Q86YN1	Q6NLA5
P61960	Q9CA23
Q0P6H9	Q0WVZ1
O75771	Q9LQQ2
P28328	Q9CA86
Q99614	Q9M0B2
Q8WUX1	Q9M8L9
Q8WUX1	F4KBM7
Q99624	Q9M8L9
Q99624	F4KBM7
Q9HC24	Q94A20
P78382	F4JN00
P78381	F4JN00
Q76EJ3	A8MRY9
Q76EJ3	A0A1P8AXP5
Q9NTN3	A8MRY9
Q9NTN3	A0A1P8AXP5
Q8NI37	Q9SUK9
P50542	Q9FMA3
Q8WXX5	A0A1I9LLP0
P32780	Q9M322
Q9Y3E5	Q1H5E3
P04844	Q93Z16
Q9BRQ3	Q8VYR2
P53007	Q9M038
Q15631	A0A178W0K0
Q9BYD3	Q8VY61
Q96FB5	A0A1P8AP99
Q9BYB4	Q3MV14
Q8WUJ1	Q2HIW2
Q5M8T2	Q94B65
Q99426	Q67Z52
Q3ZCQ8	Q8VYE2
Q5T2D3	F4K3M6
P14314	Q9FM96
O00338	Q9C9D0
O00338	O82330
O00338	P52839
O00338	Q9ZPQ5
Q6IMI6	Q9C9D0
Q6IMI6	O82330
Q6IMI6	P52839
Q6IMI6	Q9ZPQ5
Q06520	Q9C9D0
Q06520	O82330
Q06520	P52839
Q06520	Q9ZPQ5
O75897	Q9C9D0
O75897	O82330
O75897	P52839
O75897	Q9ZPQ5
Q9Y251	Q9FF10
P17213	Q8VYC2
Q86V81	Q8L719
Q86V81	Q8L773
Q9H2J4	Q9LYA5
Q9Y512	Q9SRL6
Q5MNZ9	Q8H1Q8
P0DI82	F4HTY0
P0DI81	F4HTY0
Q96EZ8	F4JCV6
Q16186	O48726
Q6IBW4	Q9LUR0
Q5SRE5	F4JUG3
O43913	Q6EWX0
O00311	Q0WPK0
Q5T5C0	Q9FFF8
Q9Y2K9	Q9FFF8
P25398	Q9SKZ3
Q92696	Q9FJ32
Q99816	Q9LHG8
Q9Y3B2	A2RVT9
Q9BV38	Q9M3B4
Q9UN36	Q9ASU8
P06730	O23252
P06730	Q9C7P6
Q9ULF5	Q9M647
P61927	Q43292
O60216	Q9FQ20
Q9NS39	F4HU58
P50336	P55826
P46783	Q9SW09
Q9BX68	Q8GUN2
Q9BX51	Q9CAR5
Q2YD98	Q9M358
Q86U38	Q9C552
O96007	O22827
Q9Y333	Q1H595
Q6ZNF0	Q9LJU7
P42677	Q8L953
P49447	Q8L856
P62314	Q9SY09
O00623	Q9M841
P51946	Q8W5S1
O95249	O22151
Q9H1Y0	Q9FFI2
Q7Z624	F4JNX3
P41567	Q94JV4
P41567	P41568
Q5VTE6	Q9LS39
Q9ULT0	Q66GN3
Q9ULT0	Q9CB03
Q86TV6	Q66GN3
Q86TV6	Q9CB03
Q8WUX2	Q84QC1
O94888	Q94JZ8
P61513	Q8RXU5
O60869	Q9LXT3
P52434	Q9M1A8
P52434	O81097
Q8WTP8	Q8LAA0
Q96FJ2	Q84VW0
Q86XA0	A0A1P8AWF5
Q9P021	Q9SYB4
Q9Y248	Q9C7A8
Q9ULX3	Q9FLL1
Q9GZP4	O82808
P62306	Q9SUM2
O75674	Q9LPL6
O75674	Q8L860
Q6ZVM7	Q9LPL6
Q6ZVM7	Q8L860
P62899	Q9STR1
O43741	Q9SCY5
Q9H8P0	Q9SI62
Q9H0R3	F4ITL6
P42696	Q9LUK6
Q9NY61	A0A1P8BD18
Q96FZ2	Q8GZ60
Q92542	Q8GUM5
Q9Y6X9	F4JRS4
P43487	Q8RWG8
Q9NVR7	F4J4K6
Q9NVR7	Q66GP5
Q9UJX4	Q8H1U4
Q13686	Q9SA98
Q99640	Q8L4H0
Q9Y535	Q9M9Y6
O60291	Q9LYW5
Q86SZ2	Q9CAW4
O95568	Q8VY62
Q8NEJ9	Q93ZQ9
Q16864	Q9ZQX4
O43542	Q9FKM5
Q5VWX1	Q0WLR1
Q5VWX1	Q9FKT4
Q96PU8	Q0WLR1
Q96PU8	Q9FKT4
P30711	Q9ZRT5
P23434	Q9LQL0
Q9Y2B2	Q6DBN0
P98175	F4JCU0
O95619	Q9FH40
Q96FZ7	Q8GXN6
Q8N1F7	O22224
O43396	Q9SQZ9
O00628	Q9XF57
P21549	Q56YA5
Q96NN9	P92947
Q8TBY0	Q9LXJ8
Q99685	Q94AM5
Q9UGJ0	Q944A6
Q9BSE5	P46637
Q6P4F2	Q9M0V0
P62312	Q9M1Z3
P20132	Q9ZSS6
Q12893	Q8LF05
Q9UBD5	Q6E7H0
A6NK58	Q9SXP7
Q9Y256	Q8GW19
Q92541	Q9C950
O00422	O64644
Q9H6Y7	F4HZZ4
O95372	Q8L9X1
Q99729	F4I906
Q9UL33	Q9SKS7
Q9HBH1	Q9FV53
Q15007	Q9ZSZ8
Q6P1J9	Q9LJ87
Q7L5D6	Q6GKV1
Q96NS1	Q9T096
O60688	Q9T096
Q96AJ9	Q9SEL6
Q9NRP0	Q9SZQ8
Q9Y314	Q9SY88
P48047	Q96251
Q96CS3	Q9M0N1
Q9Y6H3	Q9SRP6
Q9Y4Y9	Q9FKB0
Q9H9A6	F4IYR7
Q8IWL3	Q8L7K4
Q9H598	F4JE35
Q9H0Z9	F4HUQ5
Q9H0Z9	Q67YS0
Q9BX46	F4HUQ5
Q9BX46	Q67YS0
O60741	Q9M8S6
Q96LU5	Q6NLT8
Q9Y2D8	Q8GW47
Q96EE3	Q93VR9
Q5T6J7	Q9SLE0
Q15274	Q9ZU32
Q86W42	Q8L4M1
Q9UBQ6	Q9LY62
P52565	F4HYS9
P52565	Q9SFC6
Q96P16	Q8GUK8
P61218	Q9FJ98
Q86TN4	F4IW51
Q9NY12	Q8VZT0
Q9BW27	Q8RXH2
Q14894	Q9FLY0
O95777	Q8VYI0
Q9BSY9	Q93VG8
Q8TCD6	Q9FZ62
Q96EC8	O64614
O76071	F4JVW1
O15144	Q8LGI3
Q6P9B6	Q9FNI2
Q8WVC0	Q9FNQ0
Q96HA8	O22944
Q9Y3B7	Q9SVW7
Q9NWT1	Q5XEV4
Q9BY42	Q6NQ98
Q6DN14	Q9SKA3
P49755	Q6IDL4
Q96GF1	O64824
P62318	Q9S7E6
O75845	Q39208
O60826	F4I1X8
Q9H477	A1A6H3
Q86TU7	Q9XI84
Q15125	O48962
Q7Z5U6	F4KEM4
Q9BPX1	Q9LW34
Q16280	P92960
Q9NPC4	A0A1P8APP1
Q9BZL1	Q9FGZ9
Q9H8M1	F4JP95
Q9BUU2	F4HQD3
O60566	F4IVI0
Q9NR50	Q1G3F7
Q9Y5R8	Q9SYB8
Q8TEB9	Q8RXW0
Q9H967	Q9SAI7
Q86VF5	Q9ASU1
P51991	Q9FM47
Q5BJH7	F4J8C0
Q96K19	Q93WJ5
P83731	Q42347
Q68CZ6	Q0WQE7
Q9H4I3	Q8GXY6
Q92466	Q6NQ88
O95926	Q9ZVX7
Q9ULW3	Q6NM71
Q9UBQ5	Q9SZA3
Q86SK9	Q949X0
O43663	Q9FLP0
Q9Y548	Q8GWB3
Q9BV68	Q94AK4
Q96CP6	F4HVW5
P52435	Q38859
P62304	Q8LAK5
Q5T653	P56791
Q9BRG1	Q8VZC9
Q86U28	Q8LCY2
Q8WV99	Q9SCM4
P13686	Q8H129
Q9H8H3	Q941B1
Q9BWJ5	P58728
P62875	Q9SYA6
P11511	Q9FYL0
Q96SU4	Q9SVZ9
Q96SU4	Q9SW00
O00458	F4HUS5
P61803	Q39080
O14777	Q9M1G5
Q9NVU0	Q9FGZ3
O77932	Q8RY73
Q56P03	Q9FTA3
Q6FIF0	Q8H0X0
P13284	Q9SV73
P13284	Q0V809
Q9H444	O82197
Q8N138	Q9C5I0
Q8N8F6	Q9SJM8
O14735	Q8GUK6
Q9UI30	Q8LFJ5
Q15650	Q9SN77
Q8N7H5	F4HQA1
O43583	Q8VZK2
Q8N5M1	Q94BY8
Q9H063	A0A1P8BBF5
Q9H7H0	Q8GW63
Q13526	Q9SL42
Q04671	O81915
Q9UK45	Q9SI54
P28845	Q9STY8
Q9HAV7	Q8LB47
Q8IUH2	A0A1P8AZ49
Q15543	Q6NQH4
Q15061	B5X503
Q8IVV7	A0A1P8AZS5
O43462	F4JUU5
O43315	Q9FIZ9
Q12908	Q1EBV7
P33552	Q9SJJ5
P33552	O23249
P61024	Q9SJJ5
P61024	O23249
Q9Y3P9	F4JF82
Q6IQ49	Q9SV28
A8MXD5	Q9FGG8
Q9P2W9	P59277
Q9Y3A2	Q9M223
Q9NX24	Q9LEY9
Q6GMV3	Q9FT62
Q96EP1	Q6NL06
Q9Y276	Q147F9
Q9Y3U8	Q9LZ57
Q9Y3U8	O80929
Q9NYZ1	Q8LEK2
Q9H5I1	Q9SRV2
Q9NZZ3	Q9LPN5
Q9BTM9	B3H7G2
Q9BR61	Q9SM23
Q9BUE6	Q8LBM4
P30044	Q949U7
O43513	Q9LZD7
Q96EK6	Q9LFU9
Q9BYG3	Q9LZ65
O95801	F4I456
Q9NUN7	Q94IB9
Q9NXR7	Q5XF81
Q6FI81	Q8L7Z3
Q96LD8	Q9LSS7
P56597	Q6NLG3
Q9BUI4	Q8LPK6
Q6P988	Q9SR22
Q9H1C3	Q9FWY9
Q9H1C3	Q9M8J2
Q68CQ7	Q9FWY9
Q68CQ7	Q9M8J2
Q00013	P93757
Q9BXJ8	A0A1P8ANQ6
Q9BXJ8	Q93XX0
Q9BWT1	Q0WPT6
Q9Y5Z4	Q9SHG8
Q9UHD1	Q9SE33
O75352	Q9LTI3
Q8TD86	P25071
P49354	Q9LX33
Q9BSD7	Q6ID68
Q96FK6	Q944S2
Q6RFH5	A0A1P8AW47
Q9P1F3	Q8LBN7
P52657	Q39236
Q2T9J0	Q8VZD4
Q96EU6	Q8W1E4
O43299	Q8H1F1
Q6ICL7	Q6DBP3
Q8IUH5	Q52T38
O96008	Q9LHE5
Q8WTR2	Q9ZR37
Q53F39	A8MQN4
Q96EK9	Q9LMH0
P63173	O22860
Q99575	F4IL30
Q9BVK8	Q9SX96
P55789	Q8GXX0
Q03933	P41151
O15400	Q39233
Q9NPZ5	Q9SXC4
P18077	Q9C912
P62851	Q8GYL5
P0C024	Q8LET2
Q9Y5M8	A0A1P8AY88
Q9Y5M8	Q9FFK7
Q8NBM4	Q9LET3
O14929	Q9FJT8
Q9NV35	Q9CA40
Q9NRG9	Q8GWR1
O75934	Q949S9
Q6PCD5	Q9LZE2
P51570	Q8VYG2
Q8NB15	Q0WRF4
Q9BXP5	Q9ZVD0
O60888	P93009
Q9H773	Q9LSW0
Q9H446	Q9C8I1
Q9Y6D9	Q9LTY1
Q9HB71	F4I4Q9
Q9UHV9	Q9LJ98
P49842	A0A1P8B2J0
Q9BU76	Q94JX8
P56589	Q8LDG7
P50914	Q9T043
Q9H867	F4HUD6
Q86UY6	A0A1P8ATB1
Q9UJA2	Q93YW7
Q86SX6	Q84Y95
Q9UN86	Q9FME2
O95563	O49636
O43615	Q5XF06
Q9UQN3	Q0WTY4
Q5R3I4	Q9LFX3
Q969V5	Q8L7N4
Q9UI95	Q94FL5
Q86V88	Q6IDA8
Q9NP79	Q9SZ15
O43414	Q8W566
O43181	Q9FJW4
Q9HD23	Q058N4
Q9BRU9	Q8L8C2
Q9BZV1	Q9ZU93
Q9Y572	Q9SYM9
Q8IYX1	Q94BY9
Q9BZF9	F4HZB5
Q9P0J0	Q8RWA7
Q9P0J0	O49313
Q96DG6	F4HYC8
Q8N2H4	Q9SSD6
P52655	Q93VP4
Q9NYR8	Q147P9
Q01658	Q944I5
P53990	Q9C6L2
Q8WUK0	Q9ZQP1
Q99627	P43255
Q9NZ63	F4HVZ5
Q96AB6	O64876
Q9P2W1	Q9FX64
Q9BRT9	Q6NQP5
Q9H790	Q9FKK6
Q99747	Q9SPE5
Q9H0R1	Q8W0Z6
A6NEY8	F4HPK3
Q9UPS8	F4JIF4
P32856	Q8VZU2
P32856	Q9ZQZ8
Q13277	Q8VZU2
Q13277	Q9ZQZ8
P13693	P31265
Q9BRS8	Q94A38
P15927	Q9ZQ19
Q96CN4	F4IQ29
O60447	F4IQ29
Q9Y5Q8	F4KH50
Q9NXF1	F4K3T5
Q9BQ65	Q9LU57
Q6UW68	F4IYB7
O15212	Q2HIK4
Q8WUN7	Q9MAG2
O95562	Q6GKX4
O95562	Q9LT07
Q96CM3	Q9LT72
Q9BWH6	Q8GYU3
Q96NT3	Q8L870
Q9H0Y0	Q8VZ52
Q5TDP6	F4J9A0
O15514	O48890
O14681	Q5BPL5
P00915	Q9FYE3
P00915	F4JIK2
Q16790	Q9FYE3
Q16790	F4JIK2
Q8NBL1	Q9FF95
Q8NBL1	Q9M2D7
Q6UW63	Q9FF95
Q6UW63	Q9M2D7
O00584	P42813
Q9NXF8	Q500Z2
P49207	Q42351
Q92917	Q9C801
Q14197	Q84JF2
Q99471	P57742
P39210	F4K2L8
Q8NE62	A0A1P8APH9
Q9Y5U8	Q949R9
O60645	Q94AI6
Q9UBB4	O81325
P00167	O48845
P00167	Q9ZWT2
O43169	O48845
O43169	Q9ZWT2
Q9Y5T4	Q9SF33
Q9Y5T4	Q8RV04
Q96DA6	Q9SF33
Q96DA6	Q8RV04
P60059	P0DI74
P60059	P0DI75
Q6NXE6	Q8L5Z0
Q9BSH5	O48587
Q8N5A5	Q9SK49
Q6ICL3	F4JTM0
Q9UDX4	F4JYJ3
Q9UDX4	Q56Z59
O76054	F4JYJ3
O76054	Q56Z59
P50461	Q9M047
P10599	Q9C9Y6
P49321	Q94K88
Q13442	Q9FNM0
Q9BSH4	O82314
P19525	Q8VZJ9
Q15526	Q9SE51
Q9Y3B1	Q9FYA3
Q8N954	Q9M2Q7
O15078	F4HZS8
Q8N2G8	Q9LYU4
O15247	Q8LE52
P50876	Q1PEQ5
Q96SZ5	Q9LXT4
Q86Y79	Q8GW64
Q9Y5W8	F4IJE1
Q9Y3E7	Q9LXH5
P43307	P45434
Q5HYI8	F4KFD8
Q6I9Y2	Q8LDS5
Q8WU76	F4IP69
Q9Y5N6	Q9ZVH3
P84090	Q96319
Q9UK99	Q9LND7
Q9UMX5	Q9SK39
Q6NS38	Q9SIE0
O14880	F4IBL0
Q96EY9	F4KH86
Q9NWV4	F4JVV4
Q9BPX7	Q9FX33
Q9BVK6	O81045
Q6NUK4	Q8LE10
Q6NUK4	Q8GXE9
Q6NUK4	Q9LR09
Q9H6H4	Q8LE10
Q9H6H4	Q8GXE9
Q9H6H4	Q9LR09
Q9H902	Q8LE10
Q9H902	Q8GXE9
Q9H902	Q9LR09
P31942	F4IWB2
P55795	F4IWB2
P30626	Q9ZQH1
P30626	Q8W4L0
O75340	Q9ZQH1
O75340	Q8W4L0
Q96MV1	Q93ZA9
Q96G04	Q84TD5
O15116	Q945P8
P61009	Q9MA96
P61604	P34893
Q16595	Q9ZR07
O00233	A0A1P8BA81
P24666	F4J355
Q969U7	Q9LJ72
Q96CS2	F4IK01
Q9BV90	Q84WS8
P28562	Q84JU4
P86790	C0Z274
P86791	C0Z274
Q96MB7	Q94K49
O00264	Q9M2Z4
O43752	Q946Y7
P40855	Q94EI3
Q00765	Q6NLY8
Q8WUX9	F4IX33
A0PJX2	Q9AT60
Q9NVM6	Q8L7M3
Q9GZT6	Q9SIV6
Q9Y3B6	Q9FG71
Q8WW43	Q8L9G7
O43156	A0A1P8AVJ4
O95159	Q944Q6
P05386	Q9FLV1
Q6IEG0	Q9M8X2
Q8IYR2	A0A1P8APV0
Q9NPJ3	P93828
Q9Y237	Q9FE18
P48060	O81888
P48060	Q9ZNS4
P48060	P33154
Q9H4G4	O81888
Q9H4G4	Q9ZNS4
Q9H4G4	P33154
Q6UWM5	O81888
Q6UWM5	Q9ZNS4
Q6UWM5	P33154
P61956	Q9FLP6
Q6P2H8	Q9LHE8
O75940	Q84K41
Q96EB1	Q9C778
Q5J8M3	A8MQD8
O94777	Q9CA79
Q8N0Z8	A1A6J3
Q9NQZ2	Q8L3P4
Q9NXB9	Q9SQV0
Q5SR56	F4K1G9
Q6ZP29	O49437
P62942	Q8LGG0
Q17R31	A2RVM4
Q9Y584	A2RVP7
Q86UP2	P0CB23
Q9P015	Q9FLF3
Q9UBB6	Q5E911
Q8IZ81	O80516
Q8IZ81	F4HRW0
Q8N336	O80516
Q8N336	F4HRW0
Q09327	Q9LT58
P05496	P60112
O15235	P92532
O15235	P62126
O15235	A0A2P2CLH1
Q9NW68	F4JS91
P57054	O64792
Q8NCG7	A0A1P8AU29
Q9Y3C4	Q6NMZ4
O75529	Q6S7B0
Q7RTV5	Q9ZUU2
P09132	Q943Z6
Q9NZM5	O22892
Q9NQP4	Q9M4B5
Q16774	Q94JM2
Q9Y6X3	Q9FGN7
O15127	Q9LR68
O15127	Q9SKT3
O15126	Q9LR68
O15126	Q9SKT3
P57796	Q9M8U1
P63098	Q9LS47
Q9NZL4	Q84J81
P14854	Q9SUD3
Q15528	Q8LCH5
Q8IWX5	Q9M2G7
Q6PID6	Q8VZL0
Q8WVJ2	Q8VXX3
Q0GE19	F4IZC4
Q15544	F4HR03
P46976	O22893
P46976	O22693
O15488	O22893
O15488	O22693
Q9Y6M1	Q0WNX3
Q8TAT6	Q9LYC2
Q8TAT6	O82264
Q9NS18	Q9FNE2
Q9NZL9	F4JHD7
Q5SWX8	A0A1I9LSL4
Q15906	F4IP06
O43678	Q9FIJ2
Q9P0J1	Q9LUS8
Q9P0J1	Q9LHJ9
Q9P0J1	Q0V7V2
Q9P2J9	Q9LUS8
Q9P2J9	Q9LHJ9
Q9P2J9	Q0V7V2
Q9BRV3	Q9LUE3
P98179	Q9SIX3
P98179	Q03251
Q14011	Q9SIX3
Q14011	Q03251
Q9BTT4	Q9FHZ2
Q9H173	Q9SV06
Q0PNE2	Q8L9Y2
Q9UHR6	Q9FN06
P62273	Q680P8
Q14691	A0A1P8AW53
P49914	Q8L539
Q9Y5R4	Q9FMI5
Q96H35	A0A1P8BFV7
P22748	F4HUC4
O95081	Q8W4K6
P41247	Q6NPP7
Q6YI46	Q6DBQ2
P63272	Q8LCQ3
P78537	O22929
Q96CT7	Q8VYC9
O43543	Q682D3
Q96A35	Q9LT09
Q9NQE9	Q84VV6
P46597	Q9FK25
Q14257	Q9STP7
Q14257	Q9FNN0
Q15293	Q9STP7
Q15293	Q9FNN0
Q8N1B3	Q9C8P7
P62308	Q9CAX7
P62308	O82221
P62857	P34789
P63220	Q9M337
Q6NUQ1	Q9STU3
O60613	Q8GWP6
Q9H6V9	Q0WPD9
Q6PIY7	Q5XET5
P60002	Q8LEF3
Q07326	Q8GWH6
P23528	Q9LQ81
P23528	Q39250
P23528	Q39251
P23528	Q9ZSK2
P60981	Q9LQ81
P60981	Q39250
P60981	Q39251
P60981	Q9ZSK2
Q9Y281	Q9LQ81
Q9Y281	Q39250
Q9Y281	Q39251
Q9Y281	Q9ZSK2
Q9Y2G0	F4K1C7
P61970	Q9C7F5
Q9Y3D3	Q9LTS6
P37108	O04421
Q9UEE9	Q8GX81
O75937	Q9C580
Q15054	Q9SYL7
Q9Y6X2	Q680Q4
A5PLL7	Q9SZ42
O15091	Q66GI4
P23219	Q9SGH6
Q9P287	O64885
Q9BUV8	Q6NKV4
Q92575	Q9ZW74
Q96B42	F4HUY1
Q15369	Q9FIG0
Q96T52	Q9S724
P62166	O81223
B2RPK0	Q8LDF9
B2RPK0	Q42344
O15347	Q8LDF9
O15347	Q42344
Q8NEX9	Q9SY73
P62891	Q8L8W6
Q8TAQ9	Q9SG79
Q6P093	Q8LED9
Q9BTX3	O82222
P07108	P57752
P00492	F4IA25
Q9HC38	O65398
Q9Y2Y1	Q9ZQC0
P82912	P56802
Q9Y5Y5	Q8S8S1
A2RUC4	F4K2M8
Q8IYF3	B0M1H3
P45880	Q9SMX3
P22760	O64640
Q14667	Q6IMT1
Q8N3Z3	Q9LYE2
P30049	Q96252
Q9NX38	A0JQ11
Q9BYC9	Q8LCN1
Q2VPK5	O65628
P11926	Q949X7
Q15363	Q9LIL4
Q5VTY9	Q8RY80
Q9BV81	Q9AST5
Q5TC12	O22958
O43257	Q9FHW2
Q9Y3C7	Q8VYB1
P43361	A0A1P8AQU0
Q6ZRR5	Q8VZR3
Q9NXX6	F4JET1
Q96ES7	Q8RXY6
Q8N5K1	Q9FLI7
P29372	Q39147
O75347	O04350
O60671	Q8L7G8
Q9BTY7	F4HUI7
Q9BQG0	Q9FGF4
Q96PC2	Q9FLT2
Q96PC2	Q9LY23
Q8NFU5	Q9FLT2
Q8NFU5	Q9LY23
Q9BV23	Q8RXC1
P03897	P92533
P03897	A0A2P2CLG7
Q8N7A1	Q9FZ82
Q9NPE3	Q93XX8
Q99848	Q9LUJ5
O95551	Q9SA95
Q5TBB1	A8MRG8
Q7Z5H3	Q8RWQ4
Q7Z5H3	F4JQZ3
Q8N264	Q8RWQ4
Q8N264	F4JQZ3
P52815	O04527
Q00577	Q9SKZ1
O75132	Q9M2N5
P13984	F4J6V5
Q92530	Q9M330
P50053	F4JM15
O94817	Q8S924
Q96F63	Q9LTB9
Q8NC60	Q66GP9
Q8WUR7	Q6NQG5
Q8WUD4	Q9MAB2
P84103	Q9SJA6
P84103	O81127
O75822	Q8GRX2
Q9H2C2	Q5MK23
Q99638	F4J7B7
Q6WBX8	F4J7B7
Q9C0E8	Q9ZQ34
Q96MZ0	O80662
Q9Y2R9	P61841
Q8NFH5	O04326
P43897	Q5XF75
Q9HD47	Q94C15
Q13685	Q8RXQ4
P0C7U3	Q9LIE4
Q9P0L0	Q9LVU1
Q9P0L0	Q84WW5
O95292	Q9LVU1
O95292	Q84WW5
Q06033	Q8L798
Q96S96	Q9XFK7
Q8NHS0	Q0WTI8
Q9NUJ3	F4JJB2
Q8WV16	A0A1P8BB81
Q9NZD2	O22797
Q9NRX2	Q1ECK2
Q9NRX2	Q8LD39
Q9NPA0	Q8VY97
O60925	Q94AF7
Q8N6L1	Q9FVX3
Q9Y399	Q9GCB9
Q9H1D9	Q9LSZ5
Q8WZ82	A0A178UQA6
Q8N9N2	Q6NKQ6
Q9BQ90	F4IMW3
Q96L58	Q9SAA4
Q5NDL2	O22225
O14653	Q9SJL6
Q99757	Q6NPF9
Q12981	Q1LYX4
A4D126	P69834
Q8TBA6	Q8S8N9
P78417	P46421
P78417	Q9M9F1
P78417	Q9SHH7
P78417	Q9C8M3
P05387	Q9LXM8
Q9H7X0	Q9LFD8
Q9Y320	Q9LYG6
Q96BD8	Q9LZZ7
Q86WB0	F4I045
Q96DP5	Q9C712
P86397	Q9FJI2
Q9Y231	Q9C8W3
Q9P003	Q84W04
Q9NWC5	A0A1P8APW5
Q6NUQ4	Q9S791
Q9Y3I1	Q9ZUB8
Q9NP94	Q94EG9
Q9BVV7	Q1G3L1
Q49B96	F4IEX1
Q9NY26	O81123
Q9NY26	Q8S3W4
Q9BRY0	O81123
Q9BRY0	Q8S3W4
Q5T655	P61430
Q9BU61	Q682I4
Q7Z7C8	Q9SYZ9
Q16718	Q9FLX7
Q96A57	Q9LVP2
Q99417	Q8GW13
Q9Y2M2	Q9SH87
Q9UJ70	Q8LGE0
Q9NXW9	Q8RWY1
P07902	Q9FK51
P49458	Q9SMU7
Q9Y2S6	Q1EBS5
Q11201	Q9SGD2
Q9BYD1	Q9SYL9
Q9BYD1	Q7XA68
Q96BH1	F4JAP8
P53803	Q9FLM8
Q16401	F4IXH9
P35504	Q9LR44
P35504	Q9ZQ97
P35504	Q9LTH2
P35504	Q9ZQ96
P35504	O48676
P35504	Q9LTH3
Q9HAW9	Q9LR44
Q9HAW9	Q9ZQ97
Q9HAW9	Q9LTH2
Q9HAW9	Q9ZQ96
Q9HAW9	O48676
Q9HAW9	Q9LTH3
Q9HAW8	Q9LR44
Q9HAW8	Q9ZQ97
Q9HAW8	Q9LTH2
Q9HAW8	Q9ZQ96
Q9HAW8	O48676
Q9HAW8	Q9LTH3
O60656	Q9LR44
O60656	Q9ZQ97
O60656	Q9LTH2
O60656	Q9ZQ96
O60656	O48676
O60656	Q9LTH3
P19224	Q9LR44
P19224	Q9ZQ97
P19224	Q9LTH2
P19224	Q9ZQ96
