human_uniprot	rat_uniprot
Q96N64	B2RYP9
Q6UWM9	D4A147
Q8N5J2	Q5BJQ2
Q9UKT9	D3ZSW3
Q92692	Q5FVC5
Q13203	O88599
Q9BRX2	Q5XIP1
Q14141	A0A0U1RRT8
P57723	D3ZCS3
P08254	P03957
Q9BTE6	Q5XI97
Q01850	Q4V7B9
Q8N126	Q1WIM3
Q13286	Q5XIH8
Q9UNW9	F1M4H5
Q9BTV4	Q5XIP9
P26378	O09032
Q9UGV2	Q6AYR2
Q13761	A0A0G2K9V0
Q9Y303	Q5BJY6
Q9BWS9	A0JPQ9
Q5DX21	Q5U2P2
P09543	P13233
Q96A54	G3V6I6
Q8TCT6	D3ZY49
Q9H974	M0RB91
Q562R1	D3ZRN3
Q8NFU0	D3ZX44
Q93097	G3V7U3
P00390	P70619
A6NK59	P0C927
Q7RTY0	Q66HE2
Q9Y3Y4	F1M5T3
Q9H6U8	D3ZCW5
Q9P2S5	F1LS25
Q99719	Q9JJM9
Q9H6Z4	M0RD63
O95967	A0A0G2K2R5
Q15573	Q3B7U2
A8MT70	A0A0G2K3P2
Q13231	A0S5V8
P37268	Q02769
P49221	Q99041
Q92186	Q07977
Q86TY3	D3ZYI3
Q9BWW4	Q9R050
Q9HCP0	Q62761
Q6NT16	D4A9K4
O75529	B1H284
Q9NR46	Q5PPJ9
Q8WU08	D3ZD18
Q9UIJ5	Q9JKR5
Q7KZN9	D4A414
Q9H714	D4A680
P10619	Q6AYS3
Q9BV38	Q499N3
Q5VW32	Q4V8K5
Q9UBR4	G3V9E7
Q9Y6I7	B3DM89
O95393	Q4AEG6
O43347	Q8K3P4
P05060	O35314
Q14184	P70610
Q96RQ1	A0A0G2JYN4
Q9BYT1	D3ZUN1
Q3B7J2	B1WBV3
Q69YU3	Q5BJT1
Q8NBI6	D4ADL7
Q9UJT0	D3ZRL5
Q12887	F1LVF4
Q96P65	P83858
P02790	P20059
Q96EW2	Q5BKC6
P15976	P43429
Q9NS91	A0JPN0
Q9H999	D3ZUQ7
A6NFI3	D4A8C4
Q07666	Q91V33
P19971	Q5FVR2
Q9UJW2	A0A0G2KAE5
Q9H000	Q5XI23
Q9NP87	Q66HH0
Q9UI42	D3ZHS5
Q96DU9	D4A5H0
Q8NEZ5	Q32Q88
P48165	Q8K4Q9
Q6UWV6	Q5EZ72
Q9BY79	A0A0G2K7E1
Q9NUQ3	A0A0G2QC39
Q9Y614	Q4QR76
Q05823	G3V915
P51575	P47824
Q14344	Q6Q7Y5
Q86YR5	Q9R080
Q14012	Q63450
O00755	M0R9D3
P07550	P10608
Q04695	Q6IFU8
Q9H488	Q6EV70
Q8IUW3	D4A9H7
Q8NCV1	F1M8B2
Q9NQG7	A0A0G2K1L6
O00300	O08727
Q32M84	Q6AXU1
Q53H54	Q4V8B8
Q8IXX5	Q68FS7
Q13639	Q62758
Q8IYU8	Q99P63
Q8WWV3	B2GUZ6
Q8NFH3	B0BNB5
O15156	D4A579
Q92643	Q5XIP2
O95084	Q6AY61
P16333	A0A0G2JUA7
Q18PE1	D3ZDW9
O15123	O35462
Q8IZM9	Q6WWW3
P51811	Q5GH61
Q9GZV5	Q4V7E6
Q86Y34	A0A0G2JSN6
O60547	Q3MHS7
Q8N5I2	B0BNL6
P16219	P15651
Q6NUJ1	M0R3X1
Q7RTN6	Q7TNZ6
Q96FV2	Q6AYR8
O43293	O88764
Q9UPR6	D4A148
Q9NR56	A0A0G2JX72
O75298	Q6WN19
Q9Y6F9	D4A3W9
Q15007	D3ZPY0
Q7L2H7	D3ZAZ0
P78508	P49655
Q9NQL2	B2RZ38
Q8NG68	Q9QXJ0
Q9NZJ7	B0BN30
P32754	P32755
Q6DJT9	Q5U2T6
Q5T124	Q8R512
Q2M3V2	A0A0G2K6W3
Q13394	D3ZRJ3
Q969W1	A0JPI5
Q5VZM2	Q63487
Q15434	A0A0G2JYJ7
Q14457	Q91XJ1
Q96IZ5	D3ZTA4
P21953	P35738
Q11203	Q02734
Q9NYM4	Q8VHD7
O15554	Q9QYW1
O76090	Q6AYG9
Q96S82	Q6AY24
Q15323	F1MAF7
Q86UE6	D4A6D8
P39748	Q5XIP6
Q9Y570	Q4FZT2
P48048	P35560
Q6P6C2	D3ZKD3
Q9Y295	Q5I0F0
P41145	P34975
Q6XE24	F1LVI3
O75718	A0A096MK61
Q6ZMT1	D0IN10
Q9UFB7	D3ZQI7
P13942	F6T0B3
Q5EBL4	D3ZUQ0
O95396	D4A8L5
Q13303	P62483
Q86VN1	P0C0A2
O43448	Q63494
Q4VC12	D3ZKV9
Q99447	O88637
P0DPA2	D4A7V8
Q9NYS7	Q66HE3
Q6PIU2	B2GV54
P10644	P09456
P34949	Q68FX1
Q9NY97	D3ZEF9
Q96JB8	Q9QYH1
P43694	P46152
Q15113	O08628
Q9UDV6	G3V6U6
Q99574	Q9JLD2
Q8TF44	D3ZLU0
Q8TE04	D3ZWD3
Q8N0Z9	A0A0G2K994
Q9HB90	Q0D2L6
Q03113	Q63210
A5PLL1	D3ZKP1
Q15915	Q9JKY2
Q8WUD6	Q66H21
Q9H2A9	B1WBV7
Q9UIF3	Q6AYM2
O60239	Q91Y80
P28482	P63086
P48546	P43219
Q96I13	B5DEN3
Q9Y2S7	E9PT51
Q9BT04	Q3B756
Q9P291	Q5U310
O96014	G3V819
Q9UN36	Q8VBU2
Q9UNM6	B0BN93
Q99999	D3ZCT9
P31321	P81377
Q6B0I6	A1A5Q5
P25929	P21555
P49335	P62516
Q9Y586	D4ACZ1
Q9NRZ7	G3V648
Q6ZVN8	Q8N7M5
Q9NZU5	Q6AYF2
P01137	P17246
Q9H1Y3	D3ZFS1
P45985	F1LP57
Q9Y397	Q2TGJ9
Q8N635	B0BMX9
O95395	Q8CH87
Q14728	D3ZD83
Q8IWS0	D3ZQV8
Q99677	D3ZHA3
Q96KR7	Q6RFY2
P09110	P07871
Q9BXR0	Q4QR99
A6NFU0	Q6AXV7
Q9UBX1	Q499S6
Q8N6Y0	Q3T1I3
P20248	G3V802
Q9BZW5	A0A0G2JZS3
Q13309	B2GUZ0
Q8WWY8	Q32PY2
Q7L0X2	Q5XI56
Q96J01	B5DEY5
P36578	P50878
P54829	P35234
Q96MZ0	B4F774
Q96IY4	Q9EQV9
Q6ZNC4	A0A0G2K951
P04003	Q63514
P32314	F1LZM0
O43602	Q9ESI7
Q92966	Q5BK68
Q9H1J7	B1WBR9
Q8WW22	Q4QR73
P45954	P70584
Q8NFB2	D3ZWX2
O43586	B0BNK4
Q9UNH6	Q66H41
Q9BRP7	D3ZEA2
P52788	Q3MIE9
P28222	P28564
P27361	P21708
Q9Y305	Q5U2X8
Q8WVP7	A0A0G2K4B6
Q9HBU6	D3ZXB8
P55316	Q00939
Q6ZVX9	F1LWK5
Q14576	Q76IJ9
Q9NZP8	Q6IE64
Q86UW8	D3Z9H2
P19338	P13383
O00257	M0RAR7
Q6ZS11	D3ZP73
Q6NT76	D3ZER1
P78381	B2RYK5
Q8WVQ1	Q8K4Y7
Q9H295	A0A0G2JZG1
P47872	P23811
P61371	P61374
Q01167	D3ZY28
Q6BAA4	D4A8M3
Q8TE12	F1LRJ8
P78406	Q3SWS8
Q969Z4	F1LVW5
Q8IYR6	Q9QYV1
Q6ZMI3	Q80WL1
Q99542	C0M4B0
P61962	B2RZ68
P19544	P49952
Q8N4J0	Q5BJZ6
Q8N3J2	D3ZD59
Q9BTV7	A0A0G2K716
P10588	O09017
Q9UKS6	G3V9N7
Q99808	O54698
Q9NS67	Q9JJH3
Q9BY78	B0BN75
Q9Y297	F1LMH8
P01100	P12841
Q7Z2W4	Q8K3Y6
Q8N2G8	D3ZX06
P15085	P00731
Q96GA3	Q68FR7
A8MWK0	D3ZCK6
Q9UF12	Q2V057
Q9UQ07	F7F4B1
Q8WWW0	O35141
Q8TCT9	A0A0G2K1Z9
P10915	P03994
Q53GL0	Q5BJM5
P11766	P12711
P05093	P11715
Q9UBS4	Q6TUG0
Q9UHN1	D3ZYP7
Q9C0D9	A0A0G2K5C9
Q8NBS9	D3ZZC1
Q9NWS8	E9PU34
O75317	F1LSW9
Q02643	Q02644
Q8N7J2	A0A0G2JWK6
Q86UU5	Q66HC8
Q96QZ0	P60572
Q13887	F1LSL7
P22894	O88766
O00445	P47861
Q9UGU5	D4A2N0
Q8IZF4	F1M644
P07902	P43424
Q7Z3Q1	Q5BK75
Q16539	P70618
P05423	Q4FZS9
Q12926	Q8CH84
Q15366	Q6AYU5
Q5TF39	F1LTM4
O95429	F1M3K6
Q7L592	Q5XI79
Q99712	Q91ZF1
Q8NAX2	Q6AY88
Q86Y97	P0C2N6
Q86WU2	Q7TPJ4
Q8TBK2	D3ZSK5
Q9H8Y8	Q9R064
Q9NVD7	Q9HB97
Q96K37	P0C6B1
Q14626	Q99MF4
Q7LGA3	G3V7N0
P08588	P18090
Q9BZE1	Q6AXT0
Q9UHM6	Q8R456
Q8WYA1	A0A0G2K1T7
Q99594	F7EPU7
Q8IX15	Q8K3E9
Q92485	Q4V7D9
P50213	Q99NA5
P30872	P28646
P56705	Q9QXQ5
Q16773	Q08415
Q96IT1	F1LVS9
Q6UX06	D3ZMI6
Q9UH03	Q9WU34
P08729	Q6IG12
Q9NVA4	Q810F5
Q9UKI9	P42571
O60870	D3ZRI6
Q9BX95	Q99P55
P78396	Q6AY13
Q9H116	D3ZUU2
Q96T53	B1Q005
P50148	P82471
Q9Y639	P97546
Q8NCH0	B2GV63
P08697	F7FHF3
Q9NQV7	P0C6Y7
Q8NEZ2	Q4V794
Q86VQ1	B2RYK0
Q5I0G3	A0A0G2JVU8
Q6UWP7	D3ZFF4
Q6RFH5	B0BNI2
P04075	P05065
O43837	Q68FX0
Q12894	Q0ZFS6
Q6XR72	D3ZJB7
Q6ZUS6	F1LVF5
Q9HD23	Q9ET09
Q9H161	D3ZEM1
Q8NFL0	Q66H69
P47900	P49651
Q7Z5Y6	D3ZTI5
P34820	D3ZTI5
Q9HAW0	Q4V8D6
Q15818	P47971
Q8N427	Q715S9
Q9H993	Q6AYT5
Q92633	P61794
Q8NBU5	Q505J9
P37288	P30560
P42768	M0RBE8
P14136	P47819
Q5T5M9	D4A1H5
P15088	P21961
O75936	Q9QZU7
P01106	P09416
P82675	D3ZYT2
Q16690	O54838
Q92187	A1KQY6
Q16644	Q66H84
O60256	O08618
Q9ULG6	A0A0G2K4M3
Q14296	Q5XIG7
Q9UG56	D3ZAW2
Q99571	P51577
O75995	B5DFK2
P19784	B4F7A9
P48059	C0KUC6
Q99873	Q63009
Q96E52	D3ZS74
Q05048	Q5BJQ6
Q9BS91	D4A7S3
P26992	Q08406
A6NNN8	D4A0Y7
Q6AZZ1	A0A1B0GWP0
Q6NVV3	A0A0G2K4T6
P22083	Q62994
P49137	F1M9C0
Q9BY10	D4A6S9
Q8IYS1	D4AAB5
O75570	M0RDC8
O75071	D3ZTM7
P55010	Q07205
P21128	D3ZSZ1
Q9Y574	F7EPG5
O60711	Q5M852
Q9NVF9	D3ZRW8
P15391	F1LNH2
Q9NS00	Q9JJ05
Q9UHG0	D3ZR10
O75603	D3ZXW4
Q96T17	D4A4L4
P13489	P29315
Q9UBC1	Q8R2H1
P24468	O09018
Q5T4F4	Q6P7B7
Q9HBY8	Q8R4U9
Q15629	Q5XI41
P31350	D4A7M6
P49146	Q9ERC0
Q16543	Q63692
Q9BT81	D3ZTE1
Q9H0C8	Q9Z1Z6
Q9P0M6	B1WC28
O43820	Q76HM9
Q569K4	A0A0G2K4A6
Q9UKX7	O08587
Q9Y312	B1WC03
Q9NWT6	B0BNG5
P24752	P17764
Q9NYL5	D4AE09
P10909	P05371
O60704	Q5RJS8
P17050	Q66H12
P61421	Q5M7T6
P21453	P48303
Q96C92	F1LMK3
Q5QJE6	D3ZHM7
Q15011	Q9ESS9
P63096	P10824
Q14094	D4A5E4
Q0VDG4	A0A0G2K189
Q8IUI8	M0RDG7
Q9NRB3	Q498S0
P28562	Q64623
Q99689	P97577
Q16566	P13234
P19883	P21674
P14651	F7FL39
Q5MNZ6	Q2MCP5
Q969H0	D3Z902
Q9UL49	A0A0G2JYQ8
Q8IWR1	B5DF13
P42765	P13437
Q6NXR4	Q66H56
Q92597	Q6JE36
Q8WWK9	D3ZPD0
Q92968	D4A2Y9
Q9H069	Q5XI54
Q9NPC7	A0A0G2KAA6
Q9NPF2	P69478
O95995	Q499U4
Q8NHU3	Q4JM44
Q8TD08	Q9Z2A6
Q6NW34	Q5I0D2
O00716	A0A0G2K0V6
Q96A47	P50480
Q12946	M0R8R8
Q5VTB9	D4AA66
Q5XUX1	F1MAM1
Q9ULJ1	A0A0G2K7F1
P10523	P15887
Q9H7F4	M0RA52
Q14314	G3V7P2
Q8ND07	A0A0G2K4P4
Q9NXW2	Q5FVC4
Q9H4B0	Q4V7F3
Q92604	F1LTX8
Q96PP8	F1M9F6
P04899	P04897
Q6UXG8	M0R7E0
Q12972	B1WC70
Q15743	D3ZSW1
Q15054	F6T1W7
Q96B23	D4A3X1
Q86Y07	A0A0G2JVP1
Q5VXM1	D3ZG42
Q8TEZ7	Q6AY03
Q86XE0	F1LU14
P30989	P20789
P30559	P70536
Q9BVC3	D4ACA3
Q96RU8	G3V6J8
P19099	P30100
Q08752	Q6DGG0
Q9BY77	D4A2B0
P09972	P09117
P17029	Q4KLI1
O43414	M0R8C5
O43813	Q9QX69
Q92466	D3ZR08
O95409	A0A0G2JWR6
P17612	P27791
P09471	P59215
P08754	P08753
Q9BSL1	Q5XIR9
Q49AR2	D3ZV99
Q9Y3F4	Q5XIG8
Q86VE9	Q63175
Q9UJX2	F1LRQ6
Q9BWV7	D3ZF82
P19086	P19627
Q9UBI4	D4A7E9
Q92496	F1LWS4
Q8N3J3	Q6GX86
Q03252	D3ZLC1
Q8NCB2	Q63092
Q96FE5	G3V881
Q15198	Q5RJP7
Q9H553	G3V6U3
Q7Z6K3	D3ZWG9
Q9UH62	Q5XID7
Q9UKT5	D3ZIH4
Q502W7	F1LUB9
Q9Y606	Q4KM92
P04198	Q63379
Q8IV13	F1LPN6
P55055	Q62755
Q8NES3	Q924T4
Q8IUQ0	A6JFQ6
P06280	D3ZJF9
Q96NU1	D3ZMX5
P29279	Q9R1E9
Q8NEE8	M0RBH7
Q9NQZ2	Q6AXX4
Q9UBV4	D4A3K6
Q9UK05	M0RB87
Q9NR45	B1WC26
Q8IZ08	Q7TQN7
Q96MV8	Q2TGJ4
O43766	Q5XIH4
Q05215	Q00911
Q8NG66	D4A3H8
Q8WWH4	Q8VHF9
O14958	P51868
Q9NUE0	Q2TGJ1
O43660	Q9WUC8
Q9Y575	D3ZJN4
Q6ZMJ2	D4A213
P23142	D3ZQ25
Q8IXN7	D4A7C3
Q9ULP0	Q9Z2L9
Q13510	Q6P7S1
Q9H040	D3ZVU1
Q16842	Q11205
Q9UIK4	A0A0G2JX07
Q96C03	D3ZS35
Q99986	Q6AYA2
P53778	Q63538
Q96EP9	Q5PT56
Q9Y278	Q80W66
Q9P0J7	A0A0G2JX46
Q15906	B1WC45
P58304	G3V7K0
O60669	Q63344
P35462	P19020
P19474	D4ACF2
O95243	D4A9W8
Q9Y259	O54783
P05062	P00884
Q9BZD2	Q80WK7
Q15759	D4A3U7
Q5XKE5	A0A0G2JW69
Q16630	D3ZPL1
Q8IZD4	D3ZZJ7
Q6UY18	D4A2G1
Q86T90	F1LT68
Q5M7Z0	D3ZG84
Q6WN34	F1LW58
Q9BWD1	Q5XI22
P29992	Q9JID2
Q9H300	Q3B8P0
Q6UX72	A0A0G2K1Q3
Q9Y662	D3ZTA9
P30874	P30680
O43427	Q6P775
Q96NM4	Q76IQ7
Q8NA57	Q6AYU0
Q6DKJ4	D4A0M2
Q96LA8	D4A307
Q9P0V9	Q5PQK1
P28336	P24053
P02452	P02454
P11488	D3ZSS5
Q96DV4	Q5PQN9
Q9HB14	Q9ERS0
P57073	D3ZR96
P25106	O89039
O43251	A1A5R1
Q86UY5	D3ZQN0
Q9NWF4	B5MEV3
O43681	G3V9T7
Q9NQ40	Q4FZU9
P30556	P25095
Q96MX6	B1WC85
O94763	D4A234
Q6GTS8	F1M0Q9
Q14318	Q3B7U9
O75689	A0A0G2K7U5
Q6UXD7	D3ZU10
A1A5D9	B1WBT3
A8K8P3	D3ZTG6
P21452	P16610
Q53GG5	Q66HS7
Q9UL41	D3Z8Y9
P32247	Q8K418
P30550	P52500
Q9HC36	D3ZQG0
Q99962	O35179
Q15561	F1M665
A6NJT0	P97830
Q9Y573	D4A1F4
Q8WVV5	D4A076
Q8N8Z6	D3ZFM7
O15533	Q99JC6
Q9Y5C1	F7FHP0
P22694	P68182
Q96MG8	D4A629
Q9NRZ5	Q924S1
Q9NR50	P70541
P50052	P35351
Q8N9I9	F1LY78
Q8TD55	D3Z9K4
P23515	F7EYB9
Q6ICH7	Q5HZW3
Q12794	Q76HN1
Q6UWY5	Q66H86
P40938	Q5M830
Q969P5	Q91Z62
Q7L8J4	B2GUX8
Q9NQZ5	A0A0G2JWY8
Q9H1K6	Q5BJV3
O15264	Q9WTY9
Q99961	O35964
P81877	F1M3J3
Q96K80	D3ZLM7
P41146	P35370
P0C1S8	D4ADZ5
Q14153	D3Z8Z2
Q16254	D4A9V4
Q8NCQ5	D3Z8N7
Q01094	O09139
O60928	O70617
Q13064	D3ZY41
Q9UH77	F1LZ52
Q8NFU5	Q99NI4
O60684	F1LT58
Q92847	O08725
P36955	Q80ZA3
Q9NP62	Q9Z288
Q9UNZ2	O35987
O95388	Q99PP0
Q8NFJ6	Q8R415
Q9H1N7	D4AAG3
P05783	Q5BJY9
Q6ZMB5	Q4QQS1
P56589	Q9JJK4
P0CK96	D4A0R5
Q6P499	D3ZZI0
Q6YN16	Q4V8F9
O95837	Q5EAP4
Q9H4I3	D3ZML4
P56704	F1M077
Q8IV38	A0A0G2K8N6
O76064	Q4KLN8
Q9NYD6	G3V815
Q9P121	Q62718
Q8N3J5	D4A7X5
A6NCL7	D3ZTU7
Q7L591	B2RYG7
Q86Z20	F1LRT4
P07339	P24268
Q99519	Q99PW3
Q9UGK8	D3ZN16
O60906	Q9ET64
Q96EP5	Q4KLZ3
Q12907	B0BNG3
Q5VXJ0	D4A9L7
Q86WG3	Q1M168
P62136	P62138
Q6UXF1	F1M8M1
Q9H9V9	D4A029
O75953	A0A0G2K9H9
Q9HAS0	D3ZEJ9
P46093	Q4KLH9
Q8NCA5	Q5FWT1
Q8N8S7	A0A0G2K6I4
Q8TD31	A0A0G2K6P2
Q8N2R8	Q4KLG0
Q13478	D3ZRM2
P58335	F1LT78
O14649	O54912
P20264	Q63262
Q9GZP0	Q9EQT1
Q9BYV2	Q5XIH6
Q53EZ4	Q4V7C8
Q96NL0	Q3B7K9
P78334	Q9ES14
Q9BZV1	A0A0G2K012
Q96I15	Q68FT9
Q5JRV8	Q7TMP6
Q8IZV5	Q80ZF7
Q14982	P32736
P04070	P31394
Q02127	Q63707
Q6A163	Q6IFW3
Q9Y330	B5DFJ8
Q15019	Q91Y81
Q92561	Q568Z9
O43679	E9PTQ0
Q06889	P43301
P04004	Q7TQ11
Q5T2R2	M0R6Q9
P02533	Q6IFV1
Q8TDV0	Q7TSN5
O75616	Q5EBA0
Q6IA17	Q4V892
Q96MI6	M0R7Q8
Q9GZZ9	Q5M7A4
Q8WUF8	D3ZYE5
P11177	P49432
A2RTY3	A0A096MJ97
O14905	D3ZFS0
Q70YC5	Q5PQS2
Q13105	Q5XIU3
Q5EB52	Q6P5P5
Q8IXZ3	D3ZQL2
Q9H211	D3ZKD4
Q9BSE4	Q66HH4
Q9ULX3	Q6VEU1
Q9BPY3	Q4QQT2
P10074	G3V777
Q96M63	B1H228
O15442	D4A120
O95072	Q6AYJ4
Q8N7R7	F1M4U0
P29083	G3V992
P24864	P39949
Q96NS5	D4A8E5
Q6IBS0	B0BMY7
Q9H4B6	A4V8B4
O94768	Q91XS8
Q96PX6	D3ZMD4
P19087	D4AA42
A8MTJ3	P29348
Q86YH6	Q5U2R1
P56706	A0A0G2K3B7
Q8N594	B0BMT2
P49593	Q9WVR7
Q8TCW9	Q8R416
Q9NRS4	D3Z9X4
Q9BTD8	Q6AXT7
Q14558	Q63468
Q9NXR8	Q498T3
O60909	D4A2A5
P27816	Q5M7W5
P28324	B4F7D4
Q0D2K0	D3ZA72
A8K0Z3	B2RYF7
P38159	Q4V898
P49366	Q6AY53
O60507	Q3KR92
Q8IV20	D3ZCD2
Q9UBR1	Q03248
Q86VH5	D3ZAL8
Q7Z3B1	Q9Z0J8
P20073	Q6IRJ7
Q9BWF2	B1WC52
P49753	A0A0G2K4M8
Q7Z4I7	A0A0G2KAE1
P32929	P18757
Q12912	F1LXR9
P85299	Q5FVG6
A6NDA9	D4A7B9
Q13515	D3ZER2
P30939	P30940
Q8N371	Q497B8
Q8N8Q9	D3ZUV1
Q99687	D4A9U2
Q08AI6	D3Z813
O75363	Q3ZB98
Q99705	P97639
Q9BYT3	D4A165
P62140	P62142
Q9H6Y2	A1L112
Q8IZT8	D3ZDL1
P09603	Q8JZQ0
Q9Y371	Q6AYE2
P31391	P30937
P85298	Q6AYD8
Q14142	B2RYH2
P49767	O35757
Q96HH9	Q5FVG8
P19419	A4GTP4
Q9P035	D4ABI7
Q9UNN4	Q641W8
Q8TBM8	A0A0G2JTM9
Q13118	O08876
Q5T1Q4	D3ZFM3
P59826	Q05701
Q9Y5B8	Q9QXL7
Q9HDC9	Q7TP48
Q8NBI5	D4A832
Q9Y617	A0A0G2K931
O75469	Q9R1A7
Q9Y5Z6	D3ZPD8
Q494V2	D3ZEI2
O95684	Q4V7C1
Q8WWR8	D3ZWB7
P46734	B1H230
P15907	P13721
P28358	D4ACD8
P41143	P33533
Q15633	Q3SWU0
Q6ZVT0	Q5XI57
P14091	P16228
Q68CQ7	Q6AYF6
Q99733	Q5U2Z3
Q8TF50	M0RAB3
P55036	O88321
Q8N165	D3ZKW5
Q9NQ55	Q5FVQ2
Q8ND76	F1MA89
Q8N228	A0A0G2K2K4
Q6PI47	D4A827
Q92917	G3V8Z3
Q9BWX1	Q6AXW4
Q5W0Z9	E9PT74
Q8NHP7	D4AD21
Q96AJ1	Q6AYJ5
P50458	P36198
P04000	O35476
Q3YBR2	Q5PQK8
P36952	P70564
P28221	P28565
Q9NSC7	G3V9C4
Q99952	F1M8E7
Q96PU8	Q91XU1
Q96G97	Q5FVJ6
Q6DWJ6	P0C0W8
Q5TC84	Q4KLH3
Q9BQ04	Q64LC9
Q8N6W0	D4A8V0
P51570	Q5RKH2
Q9NPF8	Q9JK15
Q8N7W2	F1M8D4
Q9UNP4	Q68G12
P47901	P48974
Q96GM1	Q6W5G4
Q15784	Q63689
Q8NC51	Q6AXS5
Q6IQ21	F1M076
Q8N9L9	D3ZIQ1
Q9ULV8	G3V8H4
P07093	P07092
Q9P2W7	O35789
A0AVI4	B1WBR6
Q12836	Q8CH34
Q9BX40	A0A0G2JZY0
Q6NUJ5	B1WC60
Q9NYP3	E9PSU2
Q15035	F1LUA2
Q16586	D3ZDQ9
Q06828	P50609
O75900	O88272
Q6ZU52	D3ZYL2
P55771	Q2L4T2
Q8TC71	Q6AYL6
Q99726	Q6QIX3
P15086	P19223
Q9BYG5	D4A2F2
P81274	D3ZCE5
Q96JE9	Q63560
Q7Z3Y9	A0A0G2JZM4
P08686	Q64562
Q9BXJ8	Q5HZE2
Q9C0C6	D4A489
O15466	Q6ZXC8
O14775	P62882
Q9H777	D3ZB91
Q99633	Q9JKB8
O15382	O35854
Q9UDV7	D4A4V7
O43364	P31246
Q92844	F1M101
Q9UL52	F1M2C4
Q96L12	Q6AYG8
Q3SY56	D3ZT88
Q86W42	Q6AY87
Q9GZN6	F1M3H9
O00442	Q68FS8
Q9BXI3	D3ZVD3
O14978	D3ZQ68
Q9NZ20	D3ZGN6
Q6W5P4	P0C0L6
Q6PKX4	F1M038
O75121	Q6AYP2
O15131	Q56R16
Q9UPC5	Q6XCE7
Q6AI12	B2RYI5
Q9P2E8	D3ZNC9
Q15319	D3ZTL1
Q86VK4	B4F792
O75154	Q66H66
P78424	E9PU86
Q93098	D3ZND6
Q8NBK3	D4A7I8
Q8N987	Q9ESB5
Q6VVB1	Q6IMG5
Q6PJ21	D3ZVU8
Q9BQQ3	O35254
Q9BT92	D3ZY42
Q9NYT0	D4ACD5
Q6ZSG1	M0RCK2
Q9NS85	M0R8A5
Q9NW75	F7FA15
Q13347	B0BNA7
Q9UBX5	Q9WVH8
Q7L0R7	Q4V7B8
Q92905	F7EUU4
Q9NWS6	B5DFD4
P40394	P41682
Q8N6M5	Q6AYP0
Q2TAL5	D3ZUC1
P52747	Q5XIU2
Q3ZCQ8	D3ZJX5
P53602	Q62967
Q9HCN4	B1WBZ7
P51608	Q00566
Q6ZU15	D3ZHG7
Q6A162	Q6IFW2
O75367	Q02874
P51690	Q32KK0
Q9UJM8	B0BNF9
P53365	Q6AY65
Q92185	G3V7T2
A4D263	D4A9H9
Q9P2T1	A0A0G2JX25
O95149	Q68FP5
Q9H1C3	F1M570
Q14722	P63144
Q9HB07	Q641W2
Q8N6T3	Q62848
Q8N336	D3ZDJ3
Q8NI99	B2RYM1
Q12792	Q5RJR2
P20265	P56222
Q8N4Q0	D4A264
Q9UDY4	Q5XIP0
Q8TBB5	D3ZU48
P08567	Q4KM33
P36873	P63088
Q9UJV8	D3ZYS1
Q7LG56	D4ADQ1
Q9BV87	Q6P7B2
Q9NR21	A0A0G2JTL9
A6NIM6	D3ZKX5
Q8ND90	Q8VHZ4
Q5VY43	E9PTZ1
Q9P2G4	D3ZAP3
Q13449	Q62813
Q5VYM1	D4A3J0
Q13601	A1A5R3
P06132	P32362
Q9NVD3	B0BN36
Q14119	F1M8R0
Q99983	Q9Z1S7
P14598	F1M707
Q7L211	D4A1B6
Q9Y5X5	Q9EQD2
Q99536	Q3MIE4
Q13686	D3Z8W2
A5D8V7	D4ABL9
Q9GZM5	Q6TUD4
Q9H920	D3ZN19
Q8TCJ0	Q641X7
Q9BV36	G3V8M0
P55085	Q63645
O43529	O54702
P00749	P29598
P78310	Q9R066
Q9NQS5	D4ACK0
Q9Y5P6	D4A746
P51956	D3ZTD6
Q96SF2	Q3B7U6
Q86U17	Q7TPA5
Q9NQQ7	B2RYM9
Q9BRQ8	D4AA14
Q15768	G3V7D4
P53367	Q9JHU5
Q9UPV7	D3ZB78
Q0P6D2	D3ZJ65
P55263	Q64640
A5D8T8	M0RCW2
P47974	M0RBK3
Q96C00	Q6MGD2
Q8TC76	Q5BJX5
Q4G0F5	B1WBS4
Q9UHD1	D4A4T9
Q8TB40	D3ZAW4
P35236	P49445
Q8N335	D3ZAP9
Q8WWU5	Q5XI00
Q3MIR4	D3Z9E9
Q9GZS1	B0BN64
P40121	Q6AYC4
Q9NZH0	A0A0G2K4B0
P21695	O35077
Q9BXQ6	M0R697
Q13702	A0A0G2K9X2
Q96JM3	B5DEG7
Q9HBI1	D3ZKG5
Q8IYG6	Q4V8C9
A6NGN9	F1LVR0
P11161	P51774
Q96N11	F1M0G5
Q99487	P83006
Q9Y5Y3	D4A8X5
Q12893	D3ZE59
P32745	P30936
P41231	P41232
Q8IZL9	Q4KM34
P36959	Q9Z244
O95433	B0BN63
Q9H6Y7	Q5XIL0
P0C221	Q5PQJ9
A8MPX8	D3ZZT7
Q8WVF1	Q4QQS3
Q86W33	Q791F6
Q86VH4	B4F7C5
P42701	E9PSU7
O00294	D3ZWB5
P32248	Q6U2D6
Q86WB7	M0RA42
Q9BY21	F1LXU3
Q96MB7	B0BN95
Q5JVS0	A1L1K8
Q9NZQ9	D3ZSG3
Q8N8Y2	Q5FVL0
Q96PZ2	D4A8N0
Q12951	D4A7G2
